Site,Animal,Population,Death,Status
Dabob,739,H,5,0
Dabob,740,H,5,0
Dabob,741,H,5,0
Dabob,742,H,5,0
Dabob,743,H,5,0
Dabob,744,H,5,0
Dabob,745,H,5,0
Dabob,746,H,5,0
Dabob,747,H,8,1
Dabob,748,H,8,1
Dabob,749,H,8,1
Dabob,750,H,8,0
Dabob,751,H,8,0
Dabob,752,H,8,0
Dabob,753,H,8,0
Dabob,754,H,8,0
Dabob,755,H,8,0
Dabob,756,H,8,0
Dabob,757,H,8,0
Dabob,758,H,8,0
Dabob,759,H,8,0
Dabob,760,H,8,0
Dabob,761,H,8,0
Dabob,762,H,8,0
Dabob,763,H,8,0
Dabob,764,H,8,0
Dabob,765,H,8,0
Dabob,766,H,8,0
Dabob,767,H,8,0
Dabob,768,H,8,0
Dabob,769,H,8,0
Dabob,770,H,8,0
Dabob,771,H,8,0
Dabob,772,H,8,0
Dabob,773,H,8,0
Dabob,774,H,8,0
Dabob,775,H,8,0
Dabob,776,H,8,0
Dabob,777,H,8,0
Dabob,778,H,8,0
Dabob,779,H,8,0
Dabob,780,H,8,0
Dabob,781,H,8,0
Dabob,782,H,8,0
Dabob,783,H,8,0
Dabob,784,H,8,0
Dabob,785,H,8,0
Dabob,786,H,8,0
Dabob,787,H,8,0
Dabob,788,H,8,0
Dabob,789,H,8,0
Dabob,790,H,8,0
Dabob,791,H,8,0
Dabob,792,H,8,0
Dabob,793,H,8,0
Dabob,794,H,8,0
Dabob,795,H,8,0
Dabob,796,H,8,0
Dabob,797,H,8,0
Dabob,798,H,8,0
Dabob,799,H,8,0
Dabob,800,H,8,0
Dabob,801,H,8,0
Dabob,802,H,8,0
Dabob,803,H,8,0
Dabob,804,H,8,0
Dabob,805,H,8,0
Dabob,806,H,8,0
Dabob,807,H,8,0
Dabob,808,H,8,0
Dabob,809,H,8,0
Dabob,810,H,8,0
Dabob,811,H,8,0
Dabob,812,H,8,0
Dabob,813,H,8,0
Dabob,814,H,8,0
Dabob,815,H,8,0
Dabob,816,H,8,0
Dabob,817,H,8,0
Dabob,818,H,8,0
Dabob,819,H,8,0
Dabob,820,H,8,0
Dabob,821,H,8,0
Dabob,822,H,8,0
Dabob,823,H,8,0
Dabob,824,H,8,0
Dabob,825,H,8,0
Dabob,826,H,8,0
Dabob,827,H,8,0
Dabob,828,H,8,0
Dabob,829,H,8,0
Dabob,830,H,8,0
Dabob,831,H,8,0
Dabob,832,H,8,0
Dabob,833,H,8,0
Dabob,834,H,8,0
Dabob,835,H,8,0
Dabob,836,H,8,0
Dabob,837,H,8,0
Dabob,838,H,8,0
